Cement,Blast,Fly,Water,Superplasticizer,Coarse,Fine,Age,Concrete
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28.0,79.98611450195312
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28.0,61.887367248535156
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.26953506469727
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.05278015136719
198.6000061035156,132.39999389648438,0.0,192.0,0.0,978.4000244140624,825.5,360.0,44.29607391357422
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.02984619140625
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365.0,43.69829940795898
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28.0,36.44776916503906
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.85429000854492
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.28979110717773
198.6000061035156,132.39999389648438,0.0,192.0,0.0,978.4000244140624,825.5,90.0,38.07424545288086
198.6000061035156,132.39999389648438,0.0,192.0,0.0,978.4000244140624,825.5,28.0,28.02168273925781
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01295852661133
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90.0,42.32693099975586
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0,47.81378173828125
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90.0,52.90832138061523
139.60000610351562,209.3999938964844,0.0,192.0,0.0,1047.0,806.9000244140625,90.0,39.35804748535156
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365.0,56.14196395874024
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0,40.56325149536133
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.62064743041992
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180.0,41.83671569824219
139.60000610351562,209.3999938964844,0.0,192.0,0.0,1047.0,806.9000244140625,28.0,28.237489700317386
139.60000610351562,209.3999938964844,0.0,192.0,0.0,1047.0,806.9000244140625,3.0,8.063422203063965
139.60000610351562,209.3999938964844,0.0,192.0,0.0,1047.0,806.9000244140625,180.0,44.207820892333984
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365.0,52.51669692993164
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.30063247680664
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270.0,41.15137481689453
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180.0,52.12438583374024
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28.0,37.42751693725586
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7.0,38.603759765625
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0,55.26012420654297
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365.0,52.90832138061523
198.6000061035156,132.39999389648438,0.0,192.0,0.0,978.4000244140624,825.5,180.0,41.71950149536133
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270.0,42.13111877441406
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365.0,53.69225311279297
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270.0,38.40795135498047
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28.0,30.079769134521484
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90.0,37.72192001342773
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90.0,42.2290267944336
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180.0,36.25195693969727
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90.0,50.45930099487305
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365.0,43.69829940795898
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365.0,38.995384216308594
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180.0,53.10412979125977
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90.0,41.54299926757813
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7.0,35.076400756835945
349.0,0.0,0.0,192.0,0.0,1047.0,806.9000244140625,3.0,15.049192428588867
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180.0,40.75906372070313
